month:,year:,state,avg_temp
1,1950,Mississippi,54
2,1950,Mississippi,55.6
3,1950,Mississippi,53.2
4,1950,Mississippi,56.6
5,1950,Mississippi,67
6,1950,Mississippi,76
7,1950,Mississippi,78.3
8,1950,Mississippi,78.2
9,1950,Mississippi,75.4
10,1950,Mississippi,70
11,1950,Mississippi,58.4
12,1950,Mississippi,46
1,1951,Mississippi,44.6
2,1951,Mississippi,48.1
3,1951,Mississippi,52.9
4,1951,Mississippi,59
5,1951,Mississippi,66.5
6,1951,Mississippi,75.2
7,1951,Mississippi,80.2
8,1951,Mississippi,82.7
9,1951,Mississippi,79.9
10,1951,Mississippi,71.1
11,1951,Mississippi,57.6
12,1951,Mississippi,50
1,1952,Mississippi,52.1
2,1952,Mississippi,52.9
3,1952,Mississippi,53.2
4,1952,Mississippi,57.4
5,1952,Mississippi,66.4
6,1952,Mississippi,77
7,1952,Mississippi,82.6
8,1952,Mississippi,82.3
9,1952,Mississippi,77.4
10,1952,Mississippi,65.2
11,1952,Mississippi,54.7
12,1952,Mississippi,49.2
1,1953,Mississippi,48
2,1953,Mississippi,49.6
3,1953,Mississippi,54.6
4,1953,Mississippi,60.7
5,1953,Mississippi,67.6
6,1953,Mississippi,78.4
7,1953,Mississippi,81.8
8,1953,Mississippi,80.1
9,1953,Mississippi,77.1
10,1953,Mississippi,70.4
11,1953,Mississippi,59.3
12,1953,Mississippi,48.4
1,1954,Mississippi,45.8
2,1954,Mississippi,50.4
3,1954,Mississippi,54.2
4,1954,Mississippi,61.4
5,1954,Mississippi,67.4
6,1954,Mississippi,73.5
7,1954,Mississippi,81.8
8,1954,Mississippi,83.8
9,1954,Mississippi,81.1
10,1954,Mississippi,72.1
11,1954,Mississippi,59.2
12,1954,Mississippi,49.2
1,1955,Mississippi,45.3
2,1955,Mississippi,46.6
3,1955,Mississippi,53.9
4,1955,Mississippi,63
5,1955,Mississippi,70.6
6,1955,Mississippi,74.5
7,1955,Mississippi,77.6
8,1955,Mississippi,80.4
9,1955,Mississippi,78.8
10,1955,Mississippi,70.4
11,1955,Mississippi,57.9
12,1955,Mississippi,49.8
1,1956,Mississippi,44.8
2,1956,Mississippi,48
3,1956,Mississippi,54
4,1956,Mississippi,58.6
5,1956,Mississippi,68.4
6,1956,Mississippi,75.6
7,1956,Mississippi,79.1
8,1956,Mississippi,81.2
9,1956,Mississippi,77
10,1956,Mississippi,69.7
11,1956,Mississippi,59.2
12,1956,Mississippi,53.2
1,1957,Mississippi,50.8
2,1957,Mississippi,51.6
3,1957,Mississippi,54.7
4,1957,Mississippi,59.4
5,1957,Mississippi,68.9
6,1957,Mississippi,75.6
7,1957,Mississippi,79.7
8,1957,Mississippi,80
9,1957,Mississippi,76.2
10,1957,Mississippi,66.8
11,1957,Mississippi,57.6
12,1957,Mississippi,52
1,1958,Mississippi,44.9
2,1958,Mississippi,40
3,1958,Mississippi,45
4,1958,Mississippi,56.9
5,1958,Mississippi,67.6
6,1958,Mississippi,74.9
7,1958,Mississippi,79.2
8,1958,Mississippi,79.8
9,1958,Mississippi,77.6
10,1958,Mississippi,69.5
11,1958,Mississippi,59.4
12,1958,Mississippi,49.2
1,1959,Mississippi,42.6
2,1959,Mississippi,46
3,1959,Mississippi,51.4
4,1959,Mississippi,58
5,1959,Mississippi,68.2
6,1959,Mississippi,75.4
7,1959,Mississippi,78.6
8,1959,Mississippi,80.2
9,1959,Mississippi,77.9
10,1959,Mississippi,71
11,1959,Mississippi,58.6
12,1959,Mississippi,48.9
1,1960,Mississippi,45.6
2,1960,Mississippi,43.4
3,1960,Mississippi,44.4
4,1960,Mississippi,55.5
5,1960,Mississippi,67
6,1960,Mississippi,73.8
7,1960,Mississippi,80.4
8,1960,Mississippi,81.2
9,1960,Mississippi,77.6
10,1960,Mississippi,70.4
11,1960,Mississippi,59.8
12,1960,Mississippi,48.2
1,1961,Mississippi,41
2,1961,Mississippi,45.6
3,1961,Mississippi,55
4,1961,Mississippi,59.2
5,1961,Mississippi,64.6
6,1961,Mississippi,72
7,1961,Mississippi,76.6
8,1961,Mississippi,78.2
9,1961,Mississippi,76.3
10,1961,Mississippi,68.6
11,1961,Mississippi,58.2
12,1961,Mississippi,50.4
1,1962,Mississippi,44
2,1962,Mississippi,48.4
3,1962,Mississippi,53.3
4,1962,Mississippi,56.2
5,1962,Mississippi,68.2
6,1962,Mississippi,76.2
7,1962,Mississippi,79.9
8,1962,Mississippi,81.9
9,1962,Mississippi,78.4
10,1962,Mississippi,71.2
11,1962,Mississippi,59.4
12,1962,Mississippi,48
1,1963,Mississippi,41.4
2,1963,Mississippi,40.2
3,1963,Mississippi,50.4
4,1963,Mississippi,63.1
5,1963,Mississippi,70
6,1963,Mississippi,75.9
7,1963,Mississippi,79.4
8,1963,Mississippi,80.2
9,1963,Mississippi,77.2
10,1963,Mississippi,70.8
11,1963,Mississippi,61.1
12,1963,Mississippi,45.8
1,1964,Mississippi,39.9
2,1964,Mississippi,43
3,1964,Mississippi,49
4,1964,Mississippi,60.5
5,1964,Mississippi,69.4
6,1964,Mississippi,75.8
7,1964,Mississippi,79.4
8,1964,Mississippi,79.8
9,1964,Mississippi,77.4
10,1964,Mississippi,67.7
11,1964,Mississippi,58.7
12,1964,Mississippi,52.5
1,1965,Mississippi,47.6
2,1965,Mississippi,46.6
3,1965,Mississippi,47.8
4,1965,Mississippi,58.6
5,1965,Mississippi,70.5
6,1965,Mississippi,75.3
7,1965,Mississippi,79.2
8,1965,Mississippi,80.2
9,1965,Mississippi,77.4
10,1965,Mississippi,69
11,1965,Mississippi,60.7
12,1965,Mississippi,53.4
1,1966,Mississippi,43.8
2,1966,Mississippi,43
3,1966,Mississippi,50.2
4,1966,Mississippi,59.2
5,1966,Mississippi,67.4
6,1966,Mississippi,73.2
7,1966,Mississippi,79.1
8,1966,Mississippi,80.2
9,1966,Mississippi,75.6
10,1966,Mississippi,67
11,1966,Mississippi,58.2
12,1966,Mississippi,50.9
1,1967,Mississippi,45.6
2,1967,Mississippi,44.6
3,1967,Mississippi,51.6
4,1967,Mississippi,64
5,1967,Mississippi,69.1
6,1967,Mississippi,73.7
7,1967,Mississippi,77.6
8,1967,Mississippi,76.7
9,1967,Mississippi,72.9
10,1967,Mississippi,65.6
11,1967,Mississippi,56.6
12,1967,Mississippi,50.7
1,1968,Mississippi,46
2,1968,Mississippi,41.3
3,1968,Mississippi,46.2
4,1968,Mississippi,58.3
5,1968,Mississippi,67.3
6,1968,Mississippi,74.2
7,1968,Mississippi,78.9
8,1968,Mississippi,79.6
9,1968,Mississippi,75.7
10,1968,Mississippi,67.8
11,1968,Mississippi,57.8
12,1968,Mississippi,47.6
1,1969,Mississippi,44.3
2,1969,Mississippi,45.7
3,1969,Mississippi,47.3
4,1969,Mississippi,56.2
5,1969,Mississippi,67.6
6,1969,Mississippi,74.6
7,1969,Mississippi,80.6
8,1969,Mississippi,80.5
9,1969,Mississippi,75.7
10,1969,Mississippi,68.7
11,1969,Mississippi,57.8
12,1969,Mississippi,48.1
1,1970,Mississippi,41.9
2,1970,Mississippi,41.8
3,1970,Mississippi,48.5
4,1970,Mississippi,59.4
5,1970,Mississippi,69
6,1970,Mississippi,74.2
7,1970,Mississippi,78
8,1970,Mississippi,79.6
9,1970,Mississippi,78.9
10,1970,Mississippi,70.4
11,1970,Mississippi,56.5
